date;Heat Flux;T1;T2;U;Analysis period;U24;U2/3s;U2/3e;
2018-12-16 03:25:26;24.6690788269043;22.5;8.75;;0;0;0;0;
2018-12-16 03:35:26;25.3639831542969;22.5;9;;0;0;0;0;
2018-12-16 03:45:26;23.9741744995117;22.5;8.875;;0;0;0;0;
2018-12-16 03:55:26;24.8080596923828;22.625;8.6875;;0;0;0;0;
2018-12-16 04:05:26;23.6962127685547;22.625;8.75;;0;0;0;0;
2018-12-16 04:15:26;24.2521362304688;22.6875;8.875;;0;0;0;0;
2018-12-16 04:25:26;23.6962127685547;22.625;8.5625;;0;0;0;0;
2018-12-16 04:35:26;26.1978664398193;22.6875;8.625;;0;0;0;0;
2018-12-16 04:45:26;24.6690788269043;22.625;9.125;;0;0;0;0;
2018-12-16 04:55:26;25.3639831542969;22.625;9.5625;;0;0;0;0;
2018-12-16 05:05:26;24.3911170959473;22.625;9.625;;0;0;0;0;
2018-12-16 05:15:26;23.9741744995117;22.625;9.375;;0;0;0;0;
2018-12-16 05:25:26;23.9741744995117;22.625;9;;0;0;0;0;
2018-12-16 05:35:26;26.1978664398193;22.625;8.625;;0;0;0;0;
2018-12-16 05:45:26;23.8351936340332;22.625;8.8125;;0;0;0;0;
2018-12-16 05:55:26;26.4758281707764;22.625;8.625;;0;0;0;0;
2018-12-16 06:05:26;23.9741744995117;22.625;8.875;;0;0;0;0;
2018-12-16 06:15:26;25.6419429779053;22.625;9.375;;0;0;0;0;
2018-12-16 06:25:26;26.0588855743408;22.625;9.25;;0;0;0;0;
2018-12-16 06:35:26;25.3639831542969;22.6875;9.25;;0;0;0;0;
2018-12-16 06:45:26;25.9199047088623;22.6875;8.9375;;0;0;0;0;
2018-12-16 06:55:26;26.7537899017334;22.625;9.4375;;0;0;0;0;
2018-12-16 07:05:26;25.3639831542969;22.6875;8.75;;0;0;0;0;
2018-12-16 07:15:26;24.1131553649902;22.5625;8.375;;0;0;0;0;
2018-12-16 07:25:26;27.3097133636475;22.75;8;;0;0;0;0;
