date;Heat Flux;T1;T2;U;Analysis period (0=no, 1 = yes);U24;U2/3s;U2/3e;
2019-02-21 13:14:27;24.6690788269043;23.625;13.25;2.59531589787334;1;1;1;0;
2019-02-21 13:24:27;25.3639831542969;23.75;13.625;2.59477400927327;1;1;1;0;
2019-02-21 13:34:27;22.5843677520752;23.75;13.25;2.59202662875068;1;1;1;0;
2019-02-21 13:44:27;23.5572338104248;24;13.9375;2.59054697206074;1;1;1;0;
2019-02-21 13:54:27;18.13698387146;23.375;14.75;2.58809439060891;1;1;1;0;
2019-02-21 14:04:27;20.2216949462891;23.125;14.25;2.58650063030128;1;1;1;0;
2019-02-21 14:14:27;17.8590240478516;23.375;15.875;2.58561138359068;1;1;1;0;
2019-02-21 14:24:27;17.720043182373;23.125;14.75;2.58335004173842;1;1;1;0;
2019-02-21 14:34:27;20.2216949462891;23.25;14.625;2.58217206109003;1;1;1;0;
2019-02-21 14:44:27;20.7776184082031;23.0625;14.625;2.58159750544577;1;1;1;0;
2019-02-21 14:54:27;20.9165992736816;23;14.75;2.58138133569256;1;1;1;0;
2019-02-21 15:04:27;20.2216949462891;22.9375;14.6875;2.58077533684953;1;1;1;0;
2019-02-21 15:14:27;24.8080596923828;23.625;14.5;2.58148133439163;1;1;1;0;
2019-02-21 15:24:27;24.5300979614258;23.75;14.375;2.58166477296106;1;1;1;0;
2019-02-21 15:34:27;24.6690788269043;23.75;14.375;2.58192345743718;1;1;1;0;
2019-02-21 15:44:27;26.1978664398193;24;14.75;2.58320210672905;1;1;1;0;
2019-02-21 15:54:27;24.9470405578613;23.9375;14.5;2.58351423347389;1;1;1;0;
2019-02-21 16:04:27;24.9470405578613;23.625;14.25;2.58391141536336;1;1;1;0;
2019-02-21 16:14:27;25.6419429779053;23.75;14.3125;2.58459461661167;1;1;1;0;
2019-02-21 16:24:27;25.6419429779053;23.875;14.25;2.58500859857916;1;1;1;0;
2019-02-21 16:34:27;26.0588855743408;23.8125;14.4375;2.58599062984585;1;1;1;0;
2019-02-21 16:44:27;27.3097133636475;23.8125;14.3125;2.58745948006782;1;1;1;0;
2019-02-21 16:54:27;25.6419429779053;23.5625;14.0625;2.58802484177405;1;1;1;0;
2019-02-21 17:04:27;25.7809238433838;23.5;14.125;2.5888297410493;1;1;1;0;
2019-02-21 17:14:27;25.3639831542969;23.375;13.9375;2.58932134802492;1;1;1;0;
2019-02-21 17:24:27;25.7809238433838;23.25;13.875;2.59011191821161;1;1;1;0;
2019-02-21 17:34:27;26.7537899017334;23.125;13.75;2.59140293521115;1;1;1;0;
2019-02-21 17:44:27;25.7809238433838;23;12.75;2.59099716461037;1;1;1;0;
2019-02-21 17:54:27;27.0317516326904;22.875;12.375;2.5909073933575;1;1;1;0;
2019-02-21 18:04:27;29.255443572998;22.625;11.875;2.59162850293257;1;1;1;0;
2019-02-21 18:14:27;30.7842311859131;22.625;11.5;2.59262613404693;1;1;1;0;
2019-02-21 18:24:27;32.1740379333496;22.5;11.375;2.59431864452877;1;1;1;0;
2019-02-21 18:34:27;33.4248657226563;22.375;10.875;2.5961322209943;1;1;1;0;
2019-02-21 18:44:27;32.7299613952637;22.25;10.6875;2.59749431401167;1;1;1;0;
2019-02-21 18:54:27;32.8689422607422;22.125;10.375;2.59866678398195;1;1;1;0;
2019-02-21 19:04:27;34.2587471008301;22.125;10.3125;2.60043474314068;1;1;1;0;
2019-02-21 19:14:27;33.5638465881348;22;10.0625;2.60167872221584;1;1;1;0;
2019-02-21 19:24:27;32.0350570678711;21.9375;10.375;2.60263696916408;1;1;1;0;
2019-02-21 19:34:27;29.5334033966064;21.875;10.125;2.60212595404648;1;1;1;0;
2019-02-21 19:44:27;31.201171875;21.875;9.75;2.60195641761304;1;1;1;0;
2019-02-21 19:54:27;33.7028274536133;21.875;9.4375;2.60260281631616;1;1;1;0;
2019-02-21 20:04:27;31.6181144714355;21.75;9.375;2.60232053887351;1;1;1;0;
2019-02-21 20:14:27;32.4519996643066;21.75;9.5;2.60259377461977;1;1;1;0;
2019-02-21 20:24:27;34.2587471008301;21.75;9.5625;2.6037966094893;1;1;1;0;
2019-02-21 20:34:27;33.5638465881348;21.6875;9.3125;2.60442844635603;1;1;1;0;
2019-02-21 20:44:27;32.7299613952637;21.625;9.5;2.6049674603354;1;1;1;0;
2019-02-21 20:54:27;32.7299613952637;21.625;9.5;2.60550038907781;1;1;1;0;
2019-02-21 21:04:27;31.6181144714355;21.625;9.75;2.60581420230827;1;1;1;0;
