tint,text,q
22.52703,14.14263,-1.293211
22.51882,14.18398,-1.304265
22.52703,14.28321,-1.276632
22.52703,14.41551,-1.387163
22.52703,14.452,-1.309791
22.4976,14.53468,-1.370583
22.4894,14.60081,-1.287685
22.4894,14.65041,-1.320844
22.4894,14.70001,-1.232419
22.4976,14.7496,-1.309791
22.4976,14.79919,-1.320844
22.5058,14.83225,-1.398216
22.5058,14.88183,-1.276632
22.5058,14.91489,-1.304265
22.5058,14.95621,-1.265579
22.5058,14.99753,-1.276632
22.4894,15.03058,-1.276632
22.5058,15.06363,-1.370583
22.4894,15.09668,-1.282158
22.45998,15.12973,-1.254526
22.45998,15.13315,-1.276632
22.46819,15.1662,-1.309791
22.45998,15.19098,-1.298738
22.45998,15.22403,-1.254526
22.46819,15.24881,-1.326371
22.46819,15.28185,-1.304265
22.47639,15.3149,-1.320844
22.46819,15.33142,-1.254526
22.43876,15.32657,-1.271105
22.43055,15.36787,-1.287685
22.43876,15.39265,-1.337424
22.43055,15.41743,-1.309791
22.43055,15.44221,-1.293211
22.43055,15.45047,-1.309791
22.43876,15.48351,-1.348477
22.43876,15.51654,-1.309791
22.43055,15.53306,-1.276632
22.43055,15.5661,-1.282158
22.43055,15.57435,-1.254526
22.43055,15.61564,-1.35953
22.43055,15.6239,-1.387163
22.40113,15.62732,-1.320844
22.40113,15.65209,-1.282158
22.40933,15.45389,-1.287685
22.40933,14.90862,-1.365057
22.40113,14.6524,-1.287685
22.40113,14.66067,-1.320844
22.40113,14.74332,-1.309791
22.40113,14.82597,-1.298738
22.41754,14.90035,-1.331897
22.41754,14.99952,-1.398216
22.40933,15.07388,-1.37611
22.41754,15.13998,-1.348477
22.37171,15.17645,-1.304265
22.37171,15.22602,-1.309791
22.37171,15.26732,-1.354003
22.37991,15.30863,-1.348477
22.37991,15.35819,-1.320844
22.38811,15.39123,-1.409269
22.38811,15.42427,-1.354003
22.38811,15.44905,-1.35953
22.38811,15.49034,-1.365057
22.38811,15.53164,-1.320844
22.38811,15.55641,-1.326371
22.38811,15.5977,-1.464534
22.38811,15.62248,-1.442428
22.35869,15.62589,-1.37611
22.35869,15.64241,-1.34295
22.3751,15.66718,-1.387163
22.3669,15.69195,-1.365057
22.35869,15.72499,-1.37611
22.35869,15.7415,-1.348477
22.35869,15.77453,-1.403742
22.3669,15.78278,-1.425848
22.35869,15.80755,-1.354003
22.32927,15.79446,-1.365057
22.33748,15.80272,-1.37611
22.34568,15.844,-1.431375
22.34568,15.87702,-1.320844
22.33748,15.87702,-1.320844
22.33748,15.91005,-1.309791
22.33748,15.92656,-1.34295
22.34568,15.95958,-1.320844
22.34568,15.98434,-1.35953
22.34568,15.9926,-1.453481
22.35389,16.02562,-1.425848
22.36209,16.05863,-1.398216
22.36209,16.05863,-1.409269
22.35389,16.0834,-1.365057
22.32446,16.09507,-1.35953
22.32446,16.09507,-1.348477
22.31626,16.11158,-1.354003
22.32446,16.13634,-1.331897
22.32446,16.13634,-1.326371
22.33267,16.1611,-1.453481
22.33267,16.1611,-1.37611
22.33267,16.19411,-1.409269
22.31626,16.21062,-1.34295
22.31626,16.22712,-1.298738
22.33267,16.23538,-1.309791
22.33267,16.26014,-1.326371
22.30551,16.25757,-1.331897
22.30551,16.25757,-1.309791
22.30551,16.29058,-1.387163
22.30551,16.29058,-1.403742
22.30551,16.31534,-1.35953
22.30551,16.32359,-1.414795
22.30551,16.34009,-1.337424
22.30551,16.34835,-1.387163
22.30551,16.34835,-1.298738
